"March","April","May","June","July","August","September","October","November","December16","January17","February","March","April"
319.333333333333,331.821428571429,295.466666666667,255.666666666667,235.9,244.166666666667,277.733333333333,259.833333333333,291.633333333333,332.133333333333,303.866666666667,317.233333333333,324.9,343.344827586207
318.6,330.857142857143,294.366666666667,255.066666666667,235.633333333333,244.5,277.433333333333,260.233333333333,291.8,331.633333333333,302.733333333333,316.266666666667,322.4,343.068965517241
317.966666666667,331.392857142857,294.4,254.233333333333,235.5,244.866666666667,278.7,260.2,291,330.766666666667,304,316.866666666667,321.933333333333,342.172413793103
317.3,330.535714285714,293.733333333333,254.5,235,244.433333333333,279.333333333333,260.233333333333,291.133333333333,330.3,303.1,316.2,322.533333333333,341.034482758621
316.933333333333,330.357142857143,293.766666666667,254.2,234.2,244.266666666667,279.6,261.933333333333,290.833333333333,329.366666666667,306,316.533333333333,323.7,341.034482758621
322.966666666667,328.678571428571,293.4,252.3,233.266666666667,244.8,280.9,265.133333333333,289,328.933333333333,302.733333333333,314.566666666667,323.6,340.448275862069
315.166666666667,328.071428571429,293.4,251.166666666667,233.3,245.8,282.6,267.933333333333,287.566666666667,328.266666666667,302,312.6,325.2,340.48275862069
315.033333333333,325.821428571429,292.966666666667,249.366666666667,234.333333333333,246.433333333333,281.5,270.733333333333,287.1,327.7,302.266666666667,312.9,325.233333333333,340.620689655172
315.4,325.142857142857,292.633333333333,249.033333333333,233.466666666667,246.566666666667,285.4,271.033333333333,286.433333333333,326.4,301.066666666667,313.466666666667,324.833333333333,339.137931034483
316.333333333333,324.071428571429,291.333333333333,248.266666666667,233.1,246.7,281.7,270.8,285.733333333333,330.233333333333,298.233333333333,313.9,325.166666666667,337.862068965517
313.833333333333,323.642857142857,289.566666666667,248.6,232.833333333333,246.633333333333,280.833333333333,270.533333333333,283.633333333333,324.233333333333,297.466666666667,314.2,325.733333333333,339.689655172414
313.7,324.678571428571,288.333333333333,249.3,231.466666666667,246.233333333333,280.366666666667,270.2,284.033333333333,323.9,297.5,314.1,325.9,336.931034482759
314.033333333333,323.714285714286,287.433333333333,249.233333333333,231,244.9,278.7,269.266666666667,284.633333333333,324.433333333333,298.233333333333,314.466666666667,326.266666666667,336.413793103448
314.2,323.178571428571,285.466666666667,249.066666666667,231.233333333333,244.733333333333,277.766666666667,269.033333333333,284.266666666667,323.833333333333,296.966666666667,314.233333333333,326.166666666667,335.448275862069
313.8,323.178571428571,284.333333333333,249,230.3,244.833333333333,276.733333333333,267.266666666667,284.3,323.533333333333,296.733333333333,313.7,326.266666666667,334.896551724138
313.7,322.821428571429,283.233333333333,248.466666666667,230.3,244.466666666667,275.4,266.133333333333,283.433333333333,323.6,295.833333333333,314.066666666667,325.733333333333,334.172413793103
313.966666666667,321.821428571429,280.966666666667,248.866666666667,229.7,246.166666666667,275.033333333333,266.433333333333,282.633333333333,322.866666666667,295.133333333333,314.6,325.033333333333,332.068965517241
313.666666666667,319.75,278.9,249.166666666667,231.833333333333,248.366666666667,275.733333333333,265.566666666667,284.2,322.766666666667,293.466666666667,314.733333333333,324.1,329.275862068966
312.333333333333,319.178571428571,278.366666666667,249.633333333333,234.666666666667,253,274.733333333333,265.1,285.6,324.333333333333,292.033333333333,316.733333333333,324.133333333333,326.965517241379
311.9,318.428571428571,277.766666666667,248.766666666667,236.533333333333,252.9,275.8,264.733333333333,286,323.666666666667,291.233333333333,316.866666666667,323.866666666667,323.620689655172
311.866666666667,318.25,277.5,247.3,235.766666666667,253.433333333333,274.5,264.233333333333,285.733333333333,324.366666666667,289.333333333333,317.233333333333,323.066666666667,323.310344827586
310.666666666667,317.928571428571,276.5,246.333333333333,235.6,253,273.366666666667,262.366666666667,285.866666666667,324.566666666667,290.933333333333,317.066666666667,322.933333333333,322.172413793103
312.633333333333,317.071428571429,275.6,245.166666666667,235.333333333333,252.7,271.966666666667,261.6,285.8,324.466666666667,288.5,316.5,322.9,321.137931034483
312.9,316.678571428571,274.866666666667,243.733333333333,234.866666666667,253.1,270.6,261.266666666667,286.6,325.2,288.6,316.5,322.933333333333,318.896551724138
312.4,316.392857142857,274.466666666667,242.666666666667,234,252.833333333333,269.5,260.866666666667,285.866666666667,324.466666666667,288.2,316.966666666667,322.3,318.551724137931
312.5,315.607142857143,273.866666666667,240.3,233.333333333333,252.2,273.5,259.933333333333,285.433333333333,324.233333333333,287.033333333333,316.266666666667,321.933333333333,317.827586206897
311.866666666667,314.464285714286,273.233333333333,237.833333333333,232.366666666667,250.5,268.533333333333,259.5,285.5,323.333333333333,286.933333333333,316.633333333333,321.5,316.51724137931
311.933333333333,314.107142857143,272.033333333333,236.666666666667,232.766666666667,250.666666666667,267.633333333333,259.3,285.333333333333,323.1,286.733333333333,317.366666666667,321.7,316.758620689655
