Hours;DK1;DK2;DK;SYS;DK1;DK2
03Ê-Ê04;1996;1251;3247;164,21;164,36;164,36
04Ê-Ê05;2039;1284;3323;168,46;168,09;168,09
05Ê-Ê06;2195;1384;3579;186,97;178,31;178,31
06Ê-Ê07;2587;1634;4221;235,91;215,47;218,37
07Ê-Ê08;3062;1878;4940;309,02;238,44;521,58
08Ê-Ê09;3164;1955;5119;425,78;335,66;661,09
09Ê-Ê10;3139;2001;5140;398,25;308,8;522,1
10Ê-Ê11;3205;2004;5209;328,64;260,75;370,05
11Ê-Ê12;3200;1998;5198;301,26;247,55;373,48
12Ê-Ê13;3105;1990;5095;339,01;232,55;440,78
13Ê-Ê14;3126;1967;5093;328,64;250,08;497,85
14Ê-Ê15;3093;1955;5048;328,57;227,03;453,69
15Ê-Ê16;3004;1924;4928;372,44;214,05;493,82
16Ê-Ê17;3116;2037;5153;708,99;219,64;988,17
17Ê-Ê18;3315;2198;5513;708,99;271,64;1155,89
18Ê-Ê19;3157;2144;5301;679,6;299,92;900,95
19Ê-Ê20;2958;2013;4971;331,33;234,27;463,23
20Ê-Ê21;2771;1865;4636;251,2;221,36;293,06
21Ê-Ê22;2581;1763;4344;230,24;217,11;235,83
22Ê-Ê23;2384;1608;3992;211,21;198,53;205,09
23Ê-Ê00;2206;1457;3663;188,68;187,34;187,34
00Ê-Ê01;2069;1360;3429;178,78;138,04;183,4
01Ê-Ê02;1996;1287;3283;179,23;179,37;179,37
02Ê-Ê03;1970;1267;3237;173,48;173,7;173,7
03Ê-Ê04;1994;1277;3271;170,87;170,64;171,17
04Ê-Ê05;2051;1307;3358;183,11;171,17;171,17
05Ê-Ê06;2208;1398;3606;192,13;171,47;172,88
06Ê-Ê07;2621;1599;4220;221,38;196,61;196,61
07Ê-Ê08;3080;1823;4903;347,71;198,85;894,78
08Ê-Ê09;3264;1953;5217;657,21;312,94;1003,05
09Ê-Ê10;3199;2016;5215;619,75;320,4;1119,3
10Ê-Ê11;3265;2054;5319;387,85;321,81;432,77
11Ê-Ê12;3212;2028;5240;375,76;350,32;415,31
12Ê-Ê13;3068;1991;5059;383,67;321,96;430,3
13Ê-Ê14;2960;1999;4959;321,29;313,76;422,54
14Ê-Ê15;2841;1988;4829;283,16;298,39;354,87
15Ê-Ê16;2788;1966;4754;321,22;268,84;361,21
16Ê-Ê17;2941;2103;5044;372,85;283,54;757,86
17Ê-Ê18;3207;2290;5497;613,19;337,71;1118,85
18Ê-Ê19;3101;2251;5352;399,41;346,96;672,13
19Ê-Ê20;2848;2080;4928;282,87;323,31;338,98
20Ê-Ê21;2623;1934;4557;236,08;251,38;251,38
21Ê-Ê22;2479;1819;4298;213,25;218,92;218,92
22Ê-Ê23;2334;1705;4039;205,04;202,73;202,73
23Ê-Ê00;2174;1593;3767;186,91;186,24;186,24
00Ê-Ê01;2044;1493;3537;198,12;197,68;197,68
01Ê-Ê02;1958;1425;3383;192,15;191,78;191,78
02Ê-Ê03;1921;1390;3311;185,44;185,36;185,36
03Ê-Ê04;1904;1378;3282;181,93;181,63;181,63
04Ê-Ê05;1904;1379;3283;179,77;179,32;179,32
05Ê-Ê06;1964;1407;3371;184,62;184,39;184,39
06Ê-Ê07;2089;1466;3555;181,18;180,44;180,44
07Ê-Ê08;2295;1595;3890;184,24;182,3;182,3
08Ê-Ê09;2490;1739;4229;198,72;198,35;198,35
09Ê-Ê10;2581;1838;4419;216,48;236,03;236,03
10Ê-Ê11;2647;1921;4568;232,67;249,17;249,17
